epoch,loss,held_psnr,held_ssim,B_mean,B_max,dB_toq,dB_tokv,dB_toout,n_zero,time_s
1,0.078784,10.8205,0.90835,0.03632,0.04506,1.5135e-05,2.2566e-04,0.0000e+00,0,13.7
2,0.078294,10.8884,0.90950,0.06250,0.07821,4.5208e-05,5.0305e-04,0.0000e+00,0,14.4
