epoch,loss,monitor_psnr,monitor_ssim,B_mean,B_max,dB_toq,dB_tokv,dB_toout,n_zero,time_s
1,0.075271,10.9008,0.30236,0.67995,0.67995,0.0000e+00,1.2287e-02,0.0000e+00,0,281.2
2,0.056601,11.9745,0.35404,1.02322,1.02322,0.0000e+00,1.1069e-03,0.0000e+00,0,293.5
3,0.052453,11.9737,0.34403,1.17180,1.17180,0.0000e+00,5.7579e-04,0.0000e+00,0,286.1
4,0.051521,12.2064,0.35550,1.26649,1.26649,0.0000e+00,6.3072e-04,0.0000e+00,0,288.5
5,0.050408,12.3517,0.36217,1.35884,1.35884,0.0000e+00,3.6514e-03,0.0000e+00,0,288.8
6,0.049482,12.4534,0.36489,1.44125,1.44125,0.0000e+00,1.0659e-03,0.0000e+00,0,292.8
7,0.049097,12.2990,0.37099,1.56660,1.56660,0.0000e+00,2.3495e-03,0.0000e+00,0,277.1
8,0.049475,12.3241,0.37029,1.68273,1.68273,0.0000e+00,2.8351e-03,0.0000e+00,0,287.3
9,0.049778,12.3738,0.37428,1.81097,1.81097,0.0000e+00,8.6848e-04,0.0000e+00,0,285.0
10,0.049284,12.3681,0.37524,1.89939,1.89939,0.0000e+00,3.6277e-04,0.0000e+00,0,281.7
11,0.048950,12.5544,0.37403,1.97489,1.97489,0.0000e+00,2.2759e-02,0.0000e+00,0,280.9
12,0.047750,12.4480,0.38121,2.06945,2.06945,0.0000e+00,2.8921e-04,0.0000e+00,0,276.8
13,0.047802,12.4519,0.38004,2.15374,2.15374,0.0000e+00,5.2199e-03,0.0000e+00,0,279.6
14,0.047249,12.4373,0.38438,2.21463,2.21463,0.0000e+00,5.7218e-03,0.0000e+00,0,294.9
15,0.046813,12.7154,0.37848,2.28426,2.28426,0.0000e+00,1.5968e-03,0.0000e+00,0,287.9
16,0.046383,12.5946,0.38462,2.30615,2.30615,0.0000e+00,2.0050e-03,0.0000e+00,0,277.6
17,0.046554,12.4858,0.39060,2.33854,2.33854,0.0000e+00,1.4120e-02,0.0000e+00,0,284.0
18,0.046701,12.5697,0.39193,2.39663,2.39663,0.0000e+00,1.1997e-03,0.0000e+00,0,279.3
19,0.045995,12.6008,0.39557,2.42957,2.42957,0.0000e+00,1.2139e-03,0.0000e+00,0,282.1
20,0.046009,12.6526,0.39736,2.47231,2.47231,0.0000e+00,1.5431e-03,0.0000e+00,0,284.1
21,0.045739,12.6416,0.40081,2.50294,2.50294,0.0000e+00,7.1940e-04,0.0000e+00,0,289.9
22,0.045443,12.6940,0.40058,2.54821,2.54821,0.0000e+00,8.5223e-04,0.0000e+00,0,276.4
23,0.045731,12.6527,0.40001,2.58012,2.58012,0.0000e+00,5.9261e-03,0.0000e+00,0,279.3
24,0.045364,12.6270,0.40843,2.61578,2.61578,0.0000e+00,6.1690e-04,0.0000e+00,0,289.4
25,0.045402,12.6314,0.40548,2.64329,2.64329,0.0000e+00,1.8788e-03,0.0000e+00,0,287.8
26,0.045039,12.6968,0.40642,2.68191,2.68191,0.0000e+00,8.9597e-04,0.0000e+00,0,280.7
27,0.045474,12.7096,0.40761,2.70973,2.70973,0.0000e+00,1.0060e-03,0.0000e+00,0,283.5
28,0.045395,12.7134,0.40720,2.73391,2.73391,0.0000e+00,1.8768e-02,0.0000e+00,0,287.0
29,0.045936,12.7334,0.40521,2.76525,2.76525,0.0000e+00,5.7653e-03,0.0000e+00,0,275.0
30,0.044894,12.7044,0.41204,2.79390,2.79390,0.0000e+00,7.1738e-02,0.0000e+00,0,281.5
