epoch,loss,held_psnr,held_ssim,B_mean,B_max,dB_toq,dB_tokv,dB_toout,n_zero,time_s
1,0.063498,11.7290,0.90831,0.04484,0.04484,0.0000e+00,2.0634e-04,0.0000e+00,0,13.6
2,0.063109,11.7983,0.90931,0.07791,0.07791,0.0000e+00,4.5624e-04,0.0000e+00,0,14.1
