teapot_lava2	2.571	0.438176	150	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_64147a8e
penguin_circuits	1.97824	11.697	121	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_65d9576b
spot_lava	0.892588	0.666353	150	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_66343298
whale_spots	5.31667	22.284	121	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_6b7b6b2a
penguin_circuits	33.63	11.697	121	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_6c91e4b2
penguin_circuits	1.97824	3.899	121	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_7570eab3
penguin_circuits	11.21	3.899	121	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_7bf16e8e
spot_lava	15.174	1.25867	150	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_7eaded87
teapot_lava2	0.453706	2.483	150	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_7f6a7b32
teapot_lava2	7.713	2.483	150	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_7faf7368
teapot_lava2	0.857	2.483	150	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_81f9e53d
teapot_porcelain	1.32424	1.39041	121	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_859c6129
teapot_porcelain	2.50133	23.637	121	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_85d86cca
spot_lava	15.174	11.328	150	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_8db35a31
penguin_circuits	3.73667	11.697	121	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_93472a07
spot_lava	1.686	11.328	150	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_9686933c
teapot_lava2	0.453706	0.438176	150	rung30_l1_lp_mcfmv2_D_all_qkvo+sa_r4_s42_98d09bc4
