arm,frame,entropy_all,cls_all,top1_all,entropy_vis,cls_vis,top1_vis,entropy_inv,cls_inv,top1_inv,attn_flicker,attn_drift,attn_flicker_vis,attn_flicker_inv,seconds
frozen,36,0.980798,0.560838,0.033020,0.980349,0.556874,0.034312,0.981081,0.563338,0.032206,1.669076e-02,1.255447e-01,1.636468e-02,1.689636e-02,1.31
frozen,37,0.980760,0.560778,0.033108,0.980304,0.556886,0.034384,0.981048,0.563232,0.032303,1.516877e-02,1.237522e-01,1.514926e-02,1.518107e-02,1.36
frozen,38,0.980801,0.560916,0.032983,0.980338,0.557043,0.034263,0.981093,0.563359,0.032176,1.168259e-02,1.239391e-01,1.179762e-02,1.161006e-02,1.31
frozen,39,0.980654,0.561106,0.033370,0.980220,0.557215,0.034566,0.980927,0.563560,0.032616,1.202180e-02,1.236001e-01,1.155845e-02,1.231395e-02,1.31
frozen,40,0.980710,0.561449,0.033179,0.980282,0.557535,0.034401,0.980980,0.563917,0.032408,1.162374e-02,1.240249e-01,1.146975e-02,1.172083e-02,1.31
frozen,41,0.980807,0.561607,0.032868,0.980368,0.557708,0.034067,0.981084,0.564065,0.032111,1.740175e-02,1.226493e-01,1.746913e-02,1.735925e-02,1.30
frozen,42,0.980726,0.561491,0.033158,0.980295,0.557610,0.034322,0.980997,0.563938,0.032424,1.175894e-02,1.213240e-01,1.156158e-02,1.188339e-02,1.30
frozen,43,0.980669,0.561565,0.033131,0.980272,0.557680,0.034205,0.980919,0.564014,0.032453,1.188564e-02,1.192335e-01,1.183891e-02,1.191510e-02,1.30
frozen,44,0.980830,0.561324,0.032881,0.980431,0.557450,0.033953,0.981082,0.563767,0.032205,1.124389e-02,1.201782e-01,1.069462e-02,1.159020e-02,1.31
frozen,45,0.980886,0.561304,0.032684,0.980490,0.557404,0.033745,0.981136,0.563763,0.032015,1.240320e-02,1.244906e-01,1.223582e-02,1.250874e-02,1.30
frozen,46,0.981136,0.561279,0.032530,0.980719,0.557343,0.033647,0.981399,0.563761,0.031826,1.756125e-02,1.280974e-01,1.721744e-02,1.777803e-02,1.30
frozen,47,0.981010,0.560891,0.032577,0.980596,0.556960,0.033686,0.981271,0.563369,0.031879,1.402713e-02,1.266663e-01,1.414265e-02,1.395428e-02,1.31
frozen,48,0.981169,0.561360,0.032320,0.980773,0.557319,0.033329,0.981420,0.563908,0.031684,1.497383e-02,1.267225e-01,1.431672e-02,1.538814e-02,1.30
frozen,49,0.981063,0.561144,0.032444,0.980676,0.557198,0.033494,0.981307,0.563632,0.031783,1.448581e-02,1.265371e-01,1.357346e-02,1.506106e-02,1.30
frozen,50,0.981167,0.561266,0.032418,0.980789,0.557250,0.033471,0.981405,0.563799,0.031754,1.145376e-02,1.265613e-01,1.123194e-02,1.159361e-02,1.30
frozen,51,0.981144,0.561949,0.032394,0.980789,0.557871,0.033249,0.981368,0.564521,0.031854,1.989995e-02,1.250171e-01,2.004297e-02,1.980977e-02,1.31
frozen,52,0.981205,0.561935,0.032262,0.980838,0.557887,0.033175,0.981437,0.564487,0.031687,1.170620e-02,1.249520e-01,1.163676e-02,1.174999e-02,1.30
frozen,53,0.981172,0.561834,0.032252,0.980790,0.557775,0.033194,0.981413,0.564393,0.031658,9.838817e-03,1.260836e-01,9.790664e-03,9.869177e-03,1.36
frozen,54,0.981190,0.561770,0.032277,0.980793,0.557704,0.033271,0.981441,0.564334,0.031650,9.376453e-03,1.275077e-01,9.326837e-03,9.407736e-03,1.30
frozen,55,0.981293,0.561874,0.032302,0.980868,0.557795,0.033356,0.981560,0.564445,0.031637,1.087588e-02,1.286963e-01,1.094353e-02,1.083322e-02,1.30
frozen,56,0.981180,0.561887,0.032160,0.980761,0.557831,0.033138,0.981445,0.564444,0.031544,2.066580e-02,1.272452e-01,2.015472e-02,2.098803e-02,1.30
frozen,57,0.981209,0.562287,0.031966,0.980837,0.558253,0.032791,0.981444,0.564831,0.031446,1.248427e-02,1.264655e-01,1.252606e-02,1.245792e-02,1.30
frozen,58,0.981107,0.562323,0.032221,0.980702,0.558280,0.033148,0.981362,0.564872,0.031636,1.298768e-02,1.250209e-01,1.304078e-02,1.295420e-02,1.30
frozen,59,0.981005,0.562518,0.032487,0.980589,0.558454,0.033456,0.981268,0.565080,0.031876,8.790934e-03,1.241830e-01,8.678924e-03,8.861559e-03,1.31
frozen,60,0.980970,0.562673,0.032499,0.980565,0.558604,0.033417,0.981225,0.565238,0.031920,7.169311e-03,1.226188e-01,6.961449e-03,7.300370e-03,1.30
frozen,61,0.981131,0.562156,0.032461,0.980645,0.558037,0.033614,0.981438,0.564753,0.031734,1.849441e-02,1.279312e-01,1.888783e-02,1.824635e-02,1.30
frozen,62,0.981180,0.562083,0.032283,0.980710,0.558006,0.033349,0.981477,0.564654,0.031611,1.387313e-02,1.283643e-01,1.400609e-02,1.378931e-02,1.30
frozen,63,0.981128,0.562152,0.032394,0.980654,0.558054,0.033496,0.981427,0.564736,0.031699,1.001236e-02,1.267709e-01,9.788615e-03,1.015342e-02,1.33
frozen,64,0.981026,0.561992,0.032357,0.980562,0.557893,0.033474,0.981317,0.564577,0.031652,9.659994e-03,1.270901e-01,9.601336e-03,9.696977e-03,1.31
frozen,65,0.981079,0.562403,0.032223,0.980617,0.558304,0.033328,0.981370,0.564987,0.031526,9.598635e-03,1.249132e-01,9.657240e-03,9.561685e-03,1.34
frozen,66,0.981166,0.562121,0.032354,0.980686,0.557985,0.033508,0.981469,0.564729,0.031626,1.402328e-02,1.267229e-01,1.379756e-02,1.416561e-02,1.35
frozen,67,0.981252,0.562055,0.032403,0.980785,0.557970,0.033488,0.981547,0.564631,0.031719,1.399947e-02,1.283296e-01,1.430106e-02,1.380931e-02,1.37
frozen,68,0.981253,0.562010,0.032360,0.980781,0.557933,0.033464,0.981551,0.564580,0.031664,1.011063e-02,1.286772e-01,9.788843e-03,1.031351e-02,1.33
frozen,69,0.981203,0.562152,0.032362,0.980756,0.558020,0.033429,0.981485,0.564757,0.031688,1.189863e-02,1.257774e-01,1.181151e-02,1.195356e-02,1.35
frozen,70,0.981494,0.562656,0.032515,0.981035,0.558605,0.033675,0.981784,0.565209,0.031784,1.495772e-02,1.274144e-01,1.537107e-02,1.469710e-02,1.37
frozen,71,0.981667,0.563386,0.032223,0.981219,0.559333,0.033368,0.981950,0.565942,0.031501,1.972408e-02,1.252800e-01,1.992489e-02,1.959747e-02,1.33
frozen,72,0.981839,0.563349,0.032161,0.981374,0.559354,0.033357,0.982132,0.565868,0.031407,1.636018e-02,1.276037e-01,1.676804e-02,1.610302e-02,1.30
frozen,73,0.981610,0.563798,0.032343,0.981167,0.559752,0.033457,0.981889,0.566349,0.031640,1.488874e-02,1.222078e-01,1.515162e-02,1.472300e-02,1.31
frozen,74,0.981500,0.563527,0.032462,0.981037,0.559475,0.033633,0.981792,0.566081,0.031724,1.099062e-02,1.215661e-01,1.086427e-02,1.107028e-02,1.31
frozen,75,0.981535,0.563173,0.032553,0.981051,0.559143,0.033765,0.981841,0.565714,0.031788,9.636121e-03,1.237656e-01,9.443369e-03,9.757654e-03,1.31
frozen,76,0.981776,0.563629,0.032496,0.981338,0.559661,0.033667,0.982053,0.566131,0.031757,1.845287e-02,1.275440e-01,1.824402e-02,1.858456e-02,1.31
frozen,77,0.981663,0.564256,0.032436,0.981225,0.560220,0.033653,0.981939,0.566801,0.031669,1.647690e-02,1.218570e-01,1.665782e-02,1.636283e-02,1.31
frozen,78,0.981904,0.564124,0.032048,0.981461,0.560156,0.033317,0.982184,0.566626,0.031248,1.470531e-02,1.276194e-01,1.477342e-02,1.466236e-02,1.31
frozen,79,0.982930,0.569316,0.031486,0.982574,0.565902,0.032599,0.983155,0.571468,0.030784,2.984034e-02,1.306179e-01,3.080681e-02,2.923098e-02,1.31
frozen,80,0.982969,0.569336,0.031639,0.982596,0.565939,0.032820,0.983203,0.571477,0.030894,7.914683e-03,1.314954e-01,7.950755e-03,7.891939e-03,1.31
frozen,81,0.982869,0.570614,0.031683,0.982460,0.567249,0.032886,0.983127,0.572735,0.030925,1.596895e-02,1.296964e-01,1.646196e-02,1.565811e-02,1.31
frozen,82,0.983184,0.570039,0.031378,0.982777,0.566570,0.032600,0.983441,0.572227,0.030607,1.609759e-02,1.315182e-01,1.643157e-02,1.588701e-02,1.31
frozen,83,0.981908,0.563518,0.032371,0.981442,0.559492,0.033676,0.982201,0.566057,0.031548,3.589008e-02,1.271129e-01,3.714544e-02,3.509858e-02,1.32
frozen,84,0.982673,0.567124,0.031832,0.982258,0.563512,0.033045,0.982935,0.569401,0.031067,2.475104e-02,1.290962e-01,2.570397e-02,2.415021e-02,1.31
frozen,85,0.981829,0.564095,0.032084,0.981414,0.560208,0.033297,0.982091,0.566545,0.031320,2.183730e-02,1.222991e-01,2.160100e-02,2.198628e-02,1.30
frozen,86,0.982829,0.567553,0.031923,0.982419,0.564037,0.033077,0.983086,0.569769,0.031196,2.641526e-02,1.292765e-01,2.629930e-02,2.648837e-02,1.36
frozen,87,0.983000,0.568481,0.031790,0.982627,0.565112,0.032831,0.983235,0.570605,0.031134,1.494922e-02,1.327901e-01,1.525700e-02,1.475517e-02,1.31
frozen,88,0.981651,0.562607,0.032628,0.981208,0.558740,0.033836,0.981930,0.565044,0.031867,3.722395e-02,1.287186e-01,3.787767e-02,3.681178e-02,1.32
frozen,89,0.981950,0.563887,0.031869,0.981577,0.560182,0.032976,0.982186,0.566224,0.031172,1.696711e-02,1.272954e-01,1.725218e-02,1.678736e-02,1.31
frozen,90,0.981828,0.563614,0.031882,0.981458,0.559850,0.033013,0.982061,0.565987,0.031169,8.276239e-03,1.257855e-01,8.233814e-03,8.302988e-03,1.31
frozen,91,0.981541,0.563417,0.032359,0.981190,0.559625,0.033355,0.981762,0.565808,0.031730,1.405592e-02,1.265199e-01,1.412774e-02,1.401063e-02,1.32
frozen,92,0.981627,0.563178,0.032159,0.981287,0.559408,0.033097,0.981842,0.565555,0.031567,1.030793e-02,1.266580e-01,1.012426e-02,1.042373e-02,1.31
frozen,93,0.981490,0.563311,0.032448,0.981152,0.559459,0.033395,0.981703,0.565739,0.031851,1.415271e-02,1.267087e-01,1.441662e-02,1.398632e-02,1.31
frozen,94,0.981528,0.563446,0.032106,0.981202,0.559633,0.032997,0.981732,0.565850,0.031544,1.155404e-02,1.252683e-01,1.198931e-02,1.127960e-02,1.31
frozen,95,0.981392,0.563719,0.031856,0.981070,0.559943,0.032723,0.981595,0.566099,0.031310,1.329987e-02,1.193936e-01,1.345206e-02,1.320391e-02,1.31
frozen,96,0.981740,0.563538,0.031872,0.981380,0.559808,0.032738,0.981966,0.565889,0.031326,1.934624e-02,1.276992e-01,1.905630e-02,1.952904e-02,1.31
frozen,97,0.981706,0.562996,0.032369,0.981333,0.559091,0.033247,0.981940,0.565458,0.031816,1.916773e-02,1.323018e-01,1.980083e-02,1.876857e-02,1.31
frozen,98,0.981536,0.562354,0.032525,0.981114,0.558504,0.033529,0.981802,0.564781,0.031892,1.927578e-02,1.310004e-01,1.946964e-02,1.915354e-02,1.31
frozen,99,0.981611,0.561881,0.032663,0.981185,0.557890,0.033578,0.981879,0.564397,0.032085,1.594225e-02,1.340982e-01,1.631655e-02,1.570625e-02,1.31
frozen,100,0.981521,0.561925,0.032875,0.981108,0.557950,0.033727,0.981781,0.564430,0.032337,1.034142e-02,1.330450e-01,1.020993e-02,1.042432e-02,1.31
frozen,101,0.981643,0.562137,0.032690,0.981229,0.558202,0.033613,0.981904,0.564618,0.032109,1.380932e-02,1.311231e-01,1.377406e-02,1.383155e-02,1.31
frozen,102,0.981725,0.561860,0.032713,0.981316,0.557906,0.033677,0.981983,0.564353,0.032105,9.316935e-03,1.326768e-01,9.513410e-03,9.193057e-03,1.31
frozen,103,0.981648,0.561376,0.032936,0.981219,0.557360,0.033978,0.981919,0.563907,0.032278,1.147020e-02,1.326606e-01,1.161873e-02,1.137655e-02,1.31
frozen,104,0.981607,0.561197,0.033057,0.981197,0.557198,0.034002,0.981865,0.563718,0.032462,1.288211e-02,1.344430e-01,1.265332e-02,1.302636e-02,1.31
frozen,105,0.981657,0.561421,0.032867,0.981242,0.557348,0.033903,0.981919,0.563989,0.032214,1.006606e-02,1.336414e-01,1.052587e-02,9.776150e-03,1.31
frozen,106,0.981632,0.561068,0.032950,0.981213,0.557104,0.033955,0.981897,0.563568,0.032317,1.782440e-02,1.339089e-01,1.806092e-02,1.767527e-02,1.31
frozen,107,0.981634,0.561376,0.033173,0.981231,0.557452,0.034080,0.981889,0.563850,0.032601,1.006432e-02,1.332880e-01,9.951249e-03,1.013561e-02,1.31
frozen,108,0.981672,0.561867,0.032932,0.981290,0.557988,0.033801,0.981913,0.564312,0.032383,1.626677e-02,1.324601e-01,1.579759e-02,1.656259e-02,1.31
frozen,109,0.981695,0.561774,0.033040,0.981310,0.557863,0.033872,0.981937,0.564240,0.032516,1.046917e-02,1.339518e-01,1.075608e-02,1.028826e-02,1.31
frozen,110,0.981679,0.561635,0.033263,0.981262,0.557706,0.034136,0.981942,0.564112,0.032713,1.107552e-02,1.347159e-01,1.107624e-02,1.107507e-02,1.32
frozen,111,0.981736,0.561782,0.033318,0.981315,0.557882,0.034221,0.982001,0.564241,0.032748,1.278865e-02,1.337137e-01,1.286921e-02,1.273786e-02,1.31
frozen,112,0.981847,0.561607,0.033170,0.981432,0.557755,0.034081,0.982109,0.564036,0.032595,1.049504e-02,1.327619e-01,1.046718e-02,1.051261e-02,1.31
frozen,113,0.983409,0.567372,0.031449,0.982960,0.563972,0.032396,0.983692,0.569516,0.030852,3.564150e-02,1.389007e-01,3.582423e-02,3.552628e-02,1.31
frozen,114,0.982136,0.562175,0.032573,0.981710,0.558317,0.033607,0.982404,0.564607,0.031921,3.261502e-02,1.355061e-01,3.306660e-02,3.233029e-02,1.31
frozen,115,0.981995,0.562261,0.032588,0.981573,0.558385,0.033621,0.982261,0.564704,0.031937,1.251040e-02,1.335268e-01,1.256056e-02,1.247878e-02,1.31
frozen,116,0.981489,0.561029,0.033398,0.981021,0.557025,0.034408,0.981783,0.563554,0.032760,2.472336e-02,1.339380e-01,2.501999e-02,2.453634e-02,1.31
frozen,117,0.981634,0.561407,0.033253,0.981186,0.557446,0.034234,0.981917,0.563904,0.032635,1.168666e-02,1.340465e-01,1.217689e-02,1.137757e-02,1.31
frozen,118,0.981631,0.561519,0.033072,0.981179,0.557506,0.034141,0.981915,0.564049,0.032398,9.534925e-03,1.323214e-01,9.673049e-03,9.447837e-03,1.31
frozen,119,0.981536,0.561297,0.033074,0.981066,0.557274,0.034160,0.981832,0.563833,0.032388,1.029947e-02,1.328580e-01,1.006113e-02,1.044975e-02,1.31
frozen,120,0.981654,0.560907,0.032894,0.981169,0.556853,0.034039,0.981959,0.563464,0.032173,1.006957e-02,1.344409e-01,1.018689e-02,9.995605e-03,1.31
frozen,121,0.981592,0.559861,0.032693,0.981094,0.555879,0.033883,0.981906,0.562372,0.031942,1.787630e-02,1.338661e-01,1.816343e-02,1.769526e-02,1.31
frozen,122,0.981752,0.560683,0.032111,0.981261,0.556694,0.033308,0.982061,0.563198,0.031356,1.354419e-02,1.327455e-01,1.355233e-02,1.353906e-02,1.31
frozen,123,0.981874,0.560989,0.032637,0.981366,0.556982,0.033877,0.982194,0.563516,0.031856,2.192121e-02,1.337883e-01,2.247797e-02,2.157017e-02,1.31
frozen,124,0.981809,0.559717,0.032711,0.981320,0.555747,0.033941,0.982117,0.562220,0.031936,1.929762e-02,1.344042e-01,1.930753e-02,1.929137e-02,1.31
frozen,125,0.981655,0.559979,0.033261,0.981197,0.555978,0.034444,0.981944,0.562501,0.032514,1.803209e-02,1.358448e-01,1.857667e-02,1.768873e-02,1.31
frozen,126,0.981887,0.560534,0.033010,0.981441,0.556588,0.034146,0.982168,0.563022,0.032294,1.333695e-02,1.367912e-01,1.370748e-02,1.310332e-02,1.31
frozen,127,0.981855,0.560515,0.032861,0.981416,0.556518,0.034000,0.982132,0.563034,0.032143,1.128443e-02,1.341555e-01,1.151285e-02,1.114041e-02,1.31
frozen,128,0.981808,0.560559,0.033062,0.981372,0.556587,0.034242,0.982083,0.563063,0.032319,1.144271e-02,1.334865e-01,1.143672e-02,1.144648e-02,1.31
frozen,129,0.981782,0.559517,0.032843,0.981350,0.555509,0.034035,0.982054,0.562043,0.032091,1.691660e-02,1.334811e-01,1.713966e-02,1.677596e-02,1.31
frozen,130,0.982065,0.560982,0.032288,0.981624,0.556999,0.033562,0.982342,0.563493,0.031485,2.466190e-02,1.350954e-01,2.538358e-02,2.420687e-02,1.31
frozen,131,0.982044,0.560918,0.032349,0.981605,0.556869,0.033593,0.982322,0.563471,0.031564,1.264721e-02,1.339169e-01,1.311295e-02,1.235357e-02,1.31
frozen,132,0.982122,0.561263,0.031808,0.981689,0.557178,0.033041,0.982395,0.563839,0.031031,1.412817e-02,1.333966e-01,1.446256e-02,1.391733e-02,1.31
frozen,133,0.982137,0.560887,0.031708,0.981726,0.556806,0.032943,0.982396,0.563460,0.030929,1.334624e-02,1.336708e-01,1.349485e-02,1.325255e-02,1.31
frozen,134,0.982454,0.561772,0.031176,0.982020,0.557718,0.032440,0.982728,0.564328,0.030379,2.075722e-02,1.404430e-01,2.063826e-02,2.083223e-02,1.31
frozen,135,0.982249,0.560739,0.031749,0.981807,0.556675,0.032999,0.982528,0.563301,0.030960,2.011840e-02,1.366604e-01,2.018709e-02,2.007509e-02,1.31
frozen,136,0.982011,0.560517,0.032312,0.981576,0.556466,0.033483,0.982286,0.563071,0.031573,2.014137e-02,1.327036e-01,2.068819e-02,1.979659e-02,1.31
frozen,137,0.982010,0.560629,0.032239,0.981542,0.556594,0.033501,0.982306,0.563174,0.031444,9.950892e-03,1.340664e-01,1.030814e-02,9.725644e-03,1.31
frozen,138,0.982003,0.560620,0.032301,0.981551,0.556616,0.033497,0.982288,0.563144,0.031547,1.075095e-02,1.350097e-01,1.074819e-02,1.075270e-02,1.31
frozen,139,0.981781,0.559242,0.032278,0.981335,0.555241,0.033513,0.982062,0.561764,0.031500,1.689366e-02,1.345438e-01,1.694593e-02,1.686070e-02,1.32
frozen,140,0.981726,0.559815,0.032183,0.981285,0.555773,0.033424,0.982004,0.562364,0.031401,1.682413e-02,1.310540e-01,1.726230e-02,1.654785e-02,1.31
frozen,141,0.981812,0.559308,0.032194,0.981349,0.555264,0.033465,0.982104,0.561858,0.031393,8.927558e-03,1.340889e-01,8.957928e-03,8.908408e-03,1.31
frozen,142,0.981851,0.560038,0.032360,0.981388,0.555995,0.033659,0.982143,0.562587,0.031541,1.387761e-02,1.347822e-01,1.425808e-02,1.363772e-02,1.32
frozen,143,0.981862,0.560829,0.032203,0.981417,0.556788,0.033476,0.982143,0.563377,0.031400,1.243610e-02,1.342856e-01,1.232054e-02,1.250897e-02,1.31
frozen,144,0.981890,0.560666,0.032273,0.981432,0.556651,0.033558,0.982179,0.563197,0.031462,7.490869e-03,1.353224e-01,7.551299e-03,7.452767e-03,1.32
frozen,145,0.981863,0.561188,0.031869,0.981394,0.557099,0.033221,0.982159,0.563767,0.031016,1.806360e-02,1.376576e-01,1.832928e-02,1.789610e-02,1.31
frozen,146,0.981766,0.560518,0.032008,0.981288,0.556280,0.033350,0.982067,0.563191,0.031162,1.823195e-02,1.399850e-01,1.845246e-02,1.809292e-02,1.32
frozen,147,0.981759,0.560607,0.032178,0.981289,0.556356,0.033530,0.982055,0.563288,0.031325,6.354487e-03,1.381563e-01,6.422276e-03,6.311745e-03,1.31
